Namespace(batch_size=5, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_50_cpu_k5', k=5, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=True, num_points=50, seed=1, test_batch_size=2, use_sgd=True)
Using CPU
Train 42, loss: 1.435096, train acc: 0.616873, train avg acc: 0.616834
Test 42, loss: 1.401499, test acc: 0.664683, test avg acc: 0.664683
Train 43, loss: 1.412346, train acc: 0.628288, train avg acc: 0.628298
Test 43, loss: 1.397983, test acc: 0.672619, test avg acc: 0.672619
Train 44, loss: 1.433948, train acc: 0.613896, train avg acc: 0.613839
Test 44, loss: 1.440549, test acc: 0.535714, test avg acc: 0.535714
Train 45, loss: 1.422714, train acc: 0.617866, train avg acc: 0.617876
Test 45, loss: 1.503807, test acc: 0.498016, test avg acc: 0.498016
Train 46, loss: 1.412074, train acc: 0.627295, train avg acc: 0.627325
Test 46, loss: 1.336694, test acc: 0.755952, test avg acc: 0.755952
Train 47, loss: 1.429069, train acc: 0.601985, train avg acc: 0.602122
Test 47, loss: 1.284057, test acc: 0.716270, test avg acc: 0.716270
Train 48, loss: 1.397742, train acc: 0.629777, train avg acc: 0.629920
Test 48, loss: 1.468127, test acc: 0.563492, test avg acc: 0.563492
Train 49, loss: 1.433167, train acc: 0.613400, train avg acc: 0.613369
Test 49, loss: 1.292982, test acc: 0.634921, test avg acc: 0.634921
Train 50, loss: 1.441955, train acc: 0.604467, train avg acc: 0.604455
Test 50, loss: 1.415173, test acc: 0.597222, test avg acc: 0.597222
Train 51, loss: 1.429234, train acc: 0.610422, train avg acc: 0.610458
Test 51, loss: 1.558627, test acc: 0.507937, test avg acc: 0.507937
Train 52, loss: 1.378436, train acc: 0.651117, train avg acc: 0.651085
Test 52, loss: 1.328773, test acc: 0.672619, test avg acc: 0.672619
Train 53, loss: 1.376384, train acc: 0.648139, train avg acc: 0.648152
Test 53, loss: 1.330530, test acc: 0.753968, test avg acc: 0.753968
Train 54, loss: 1.366780, train acc: 0.655583, train avg acc: 0.655613
Test 54, loss: 1.310316, test acc: 0.674603, test avg acc: 0.674603
Train 55, loss: 1.418215, train acc: 0.621836, train avg acc: 0.621851
Test 55, loss: 1.283185, test acc: 0.791667, test avg acc: 0.791667
Train 56, loss: 1.364276, train acc: 0.667494, train avg acc: 0.667367
Test 56, loss: 1.363647, test acc: 0.599206, test avg acc: 0.599206
Train 57, loss: 1.347044, train acc: 0.676427, train avg acc: 0.676444
Test 57, loss: 1.280537, test acc: 0.811508, test avg acc: 0.811508
Train 58, loss: 1.360222, train acc: 0.666501, train avg acc: 0.666384
Test 58, loss: 1.198236, test acc: 0.734127, test avg acc: 0.734127
Train 59, loss: 1.398392, train acc: 0.653102, train avg acc: 0.653062
Test 59, loss: 1.277175, test acc: 0.714286, test avg acc: 0.714286
Train 60, loss: 1.365115, train acc: 0.661042, train avg acc: 0.661173
Test 60, loss: 1.329239, test acc: 0.626984, test avg acc: 0.626984
Train 61, loss: 1.355634, train acc: 0.670968, train avg acc: 0.671001
Test 61, loss: 1.309931, test acc: 0.767857, test avg acc: 0.767857
Train 62, loss: 1.369625, train acc: 0.666501, train avg acc: 0.666402
Test 62, loss: 1.297241, test acc: 0.642857, test avg acc: 0.642857
Train 63, loss: 1.380277, train acc: 0.662035, train avg acc: 0.661985
