Namespace(exp_name='dgcnn_50', model='dgcnn', dataset='modelnet40', batch_size=5, test_batch_size=2, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=50, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Train 0, loss: 3.293181, train acc: 0.269479, train avg acc: 0.269453
Test 0, loss: 1.772160, test acc: 0.333333, test avg acc: 0.333333
Train 1, loss: 1.790185, train acc: 0.318114, train avg acc: 0.318063
Test 1, loss: 1.770289, test acc: 0.166667, test avg acc: 0.166667
Train 2, loss: 1.713282, train acc: 0.337469, train avg acc: 0.337442
Test 2, loss: 1.641142, test acc: 0.367063, test avg acc: 0.367063
Train 3, loss: 1.726200, train acc: 0.331017, train avg acc: 0.331269
Test 3, loss: 1.698165, test acc: 0.333333, test avg acc: 0.333333
Train 4, loss: 1.691479, train acc: 0.317618, train avg acc: 0.317552
Test 4, loss: 1.693502, test acc: 0.333333, test avg acc: 0.333333
Train 5, loss: 1.686690, train acc: 0.343921, train avg acc: 0.343855
Test 5, loss: 1.584660, test acc: 0.472222, test avg acc: 0.472222
Train 6, loss: 1.653068, train acc: 0.384119, train avg acc: 0.384100
Test 6, loss: 1.731601, test acc: 0.234127, test avg acc: 0.234127
Train 7, loss: 1.649970, train acc: 0.406452, train avg acc: 0.406414
Test 7, loss: 1.672790, test acc: 0.188492, test avg acc: 0.188492
Train 8, loss: 1.586826, train acc: 0.463524, train avg acc: 0.463482
Test 8, loss: 1.689363, test acc: 0.382937, test avg acc: 0.382937
Train 9, loss: 1.550660, train acc: 0.505211, train avg acc: 0.505175
Test 9, loss: 1.514130, test acc: 0.593254, test avg acc: 0.593254
Train 10, loss: 1.527684, train acc: 0.527543, train avg acc: 0.527575
Test 10, loss: 1.660937, test acc: 0.482143, test avg acc: 0.482143
Train 11, loss: 1.544715, train acc: 0.524069, train avg acc: 0.524100
