Namespace(exp_name='dgcnn_200', model='dgcnn', dataset='modelnet40', batch_size=5, test_batch_size=2, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=200, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Train 0, loss: 2.133109, train acc: 0.262103, train avg acc: 0.262103
Test 0, loss: 1.878934, test acc: 0.273016, test avg acc: 0.273016
Train 1, loss: 1.680866, train acc: 0.399008, train avg acc: 0.399008
Test 1, loss: 2.120088, test acc: 0.166667, test avg acc: 0.166667
Train 2, loss: 1.589456, train acc: 0.503571, train avg acc: 0.503571
Test 2, loss: 1.729217, test acc: 0.340476, test avg acc: 0.340476
Train 3, loss: 1.513726, train acc: 0.568651, train avg acc: 0.568651
Test 3, loss: 1.545828, test acc: 0.599603, test avg acc: 0.599603
Train 4, loss: 1.487244, train acc: 0.595238, train avg acc: 0.595238
Test 4, loss: 1.487114, test acc: 0.487302, test avg acc: 0.487302
Train 5, loss: 1.428401, train acc: 0.637202, train avg acc: 0.637202
Test 5, loss: 1.559385, test acc: 0.367857, test avg acc: 0.367857
Train 6, loss: 1.382871, train acc: 0.671429, train avg acc: 0.671429
Test 6, loss: 1.626559, test acc: 0.466667, test avg acc: 0.466667
Train 7, loss: 1.333747, train acc: 0.706647, train avg acc: 0.706647
Test 7, loss: 1.484699, test acc: 0.580556, test avg acc: 0.580556
Train 8, loss: 1.290482, train acc: 0.739484, train avg acc: 0.739484
Test 8, loss: 1.551470, test acc: 0.384921, test avg acc: 0.384921
Train 9, loss: 1.289918, train acc: 0.737599, train avg acc: 0.737599
Test 9, loss: 1.567610, test acc: 0.478175, test avg acc: 0.478175
Train 10, loss: 1.286063, train acc: 0.734623, train avg acc: 0.734623
Test 10, loss: 1.515674, test acc: 0.408730, test avg acc: 0.408730
Train 11, loss: 1.289333, train acc: 0.737698, train avg acc: 0.737698
Test 11, loss: 1.423149, test acc: 0.419444, test avg acc: 0.419444
Train 12, loss: 1.234619, train acc: 0.776290, train avg acc: 0.776290
Test 12, loss: 1.312665, test acc: 0.774603, test avg acc: 0.774603
Train 13, loss: 1.226842, train acc: 0.782639, train avg acc: 0.782639
Test 13, loss: 1.166418, test acc: 0.907937, test avg acc: 0.907937
Train 14, loss: 1.232646, train acc: 0.781151, train avg acc: 0.781151
Test 14, loss: 1.340035, test acc: 0.651984, test avg acc: 0.651984
Train 15, loss: 1.267580, train acc: 0.756250, train avg acc: 0.756250
Test 15, loss: 1.178788, test acc: 0.892460, test avg acc: 0.892460
Train 16, loss: 1.243979, train acc: 0.768651, train avg acc: 0.768651
Test 16, loss: 1.325694, test acc: 0.680952, test avg acc: 0.680952
Train 17, loss: 1.221193, train acc: 0.789583, train avg acc: 0.789583
Test 17, loss: 1.201401, test acc: 0.929365, test avg acc: 0.929365
Train 18, loss: 1.225933, train acc: 0.784325, train avg acc: 0.784325
Test 18, loss: 1.231293, test acc: 0.865476, test avg acc: 0.865476
Train 19, loss: 1.221486, train acc: 0.790972, train avg acc: 0.790972
Test 19, loss: 1.178024, test acc: 0.789286, test avg acc: 0.789286
Train 20, loss: 1.219036, train acc: 0.787401, train avg acc: 0.787401
Test 20, loss: 1.327654, test acc: 0.570635, test avg acc: 0.570635
Train 21, loss: 1.242997, train acc: 0.770437, train avg acc: 0.770437
Test 21, loss: 1.505158, test acc: 0.429365, test avg acc: 0.429365
Train 22, loss: 1.209554, train acc: 0.799008, train avg acc: 0.799008
Test 22, loss: 1.284384, test acc: 0.889286, test avg acc: 0.889286
Train 23, loss: 1.198076, train acc: 0.807639, train avg acc: 0.807639
Test 23, loss: 1.274679, test acc: 0.751587, test avg acc: 0.751587
Train 24, loss: 1.196029, train acc: 0.808829, train avg acc: 0.808829
Test 24, loss: 1.355206, test acc: 0.823016, test avg acc: 0.823016
Train 25, loss: 1.204522, train acc: 0.805456, train avg acc: 0.805456
Test 25, loss: 1.243986, test acc: 0.908333, test avg acc: 0.908333
Train 26, loss: 1.200461, train acc: 0.805952, train avg acc: 0.805952
Test 26, loss: 1.236454, test acc: 0.770635, test avg acc: 0.770635
Train 27, loss: 1.224946, train acc: 0.780754, train avg acc: 0.780754
Test 27, loss: 1.355175, test acc: 0.692063, test avg acc: 0.692063
Train 28, loss: 1.182370, train acc: 0.817163, train avg acc: 0.817163
Test 28, loss: 1.259195, test acc: 0.729365, test avg acc: 0.729365
Train 29, loss: 1.182083, train acc: 0.817758, train avg acc: 0.817758
Test 29, loss: 1.344611, test acc: 0.679762, test avg acc: 0.679762
Train 30, loss: 1.234942, train acc: 0.781151, train avg acc: 0.781151
Test 30, loss: 1.277841, test acc: 0.771825, test avg acc: 0.771825
Train 31, loss: 1.198931, train acc: 0.803075, train avg acc: 0.803075
Test 31, loss: 1.451209, test acc: 0.588095, test avg acc: 0.588095
Train 32, loss: 1.199686, train acc: 0.805556, train avg acc: 0.805556
Test 32, loss: 1.192956, test acc: 0.826190, test avg acc: 0.826190
Train 33, loss: 1.214082, train acc: 0.793254, train avg acc: 0.793254
Test 33, loss: 1.186164, test acc: 0.857540, test avg acc: 0.857540
Train 34, loss: 1.200412, train acc: 0.801885, train avg acc: 0.801885
Test 34, loss: 1.340965, test acc: 0.673810, test avg acc: 0.673810
Train 35, loss: 1.198678, train acc: 0.802480, train avg acc: 0.802480
Test 35, loss: 1.342192, test acc: 0.620238, test avg acc: 0.620238
Train 36, loss: 1.203936, train acc: 0.802976, train avg acc: 0.802976
Test 36, loss: 1.386004, test acc: 0.742460, test avg acc: 0.742460
Train 37, loss: 1.188269, train acc: 0.812798, train avg acc: 0.812798
Test 37, loss: 1.259556, test acc: 0.725397, test avg acc: 0.725397
Train 38, loss: 1.199101, train acc: 0.809325, train avg acc: 0.809325
Test 38, loss: 1.345644, test acc: 0.698016, test avg acc: 0.698016
Train 39, loss: 1.174432, train acc: 0.820833, train avg acc: 0.820833
Test 39, loss: 1.245623, test acc: 0.834524, test avg acc: 0.834524
Train 40, loss: 1.168280, train acc: 0.829960, train avg acc: 0.829960
Test 40, loss: 1.196932, test acc: 0.766667, test avg acc: 0.766667
Train 41, loss: 1.189365, train acc: 0.808036, train avg acc: 0.808036
Test 41, loss: 1.143774, test acc: 0.804762, test avg acc: 0.804762
Train 42, loss: 1.170470, train acc: 0.823313, train avg acc: 0.823313
Test 42, loss: 1.237527, test acc: 0.729365, test avg acc: 0.729365
Train 43, loss: 1.180977, train acc: 0.816071, train avg acc: 0.816071
Test 43, loss: 1.486796, test acc: 0.440873, test avg acc: 0.440873
Train 44, loss: 1.171519, train acc: 0.825397, train avg acc: 0.825397
Test 44, loss: 1.339731, test acc: 0.679762, test avg acc: 0.679762
Train 45, loss: 1.168980, train acc: 0.825794, train avg acc: 0.825794
Test 45, loss: 1.115117, test acc: 0.930952, test avg acc: 0.930952
Train 46, loss: 1.162019, train acc: 0.829563, train avg acc: 0.829563
Test 46, loss: 1.173436, test acc: 0.845635, test avg acc: 0.845635
Train 47, loss: 1.179392, train acc: 0.818948, train avg acc: 0.818948
Test 47, loss: 1.122426, test acc: 0.856746, test avg acc: 0.856746
Train 48, loss: 1.153534, train acc: 0.843056, train avg acc: 0.843056
Test 48, loss: 1.351269, test acc: 0.629365, test avg acc: 0.629365
Train 49, loss: 1.163761, train acc: 0.830556, train avg acc: 0.830556
Test 49, loss: 1.398505, test acc: 0.605159, test avg acc: 0.605159
Train 50, loss: 1.145799, train acc: 0.847619, train avg acc: 0.847619
Test 50, loss: 1.358229, test acc: 0.590873, test avg acc: 0.590873
Train 51, loss: 1.132927, train acc: 0.854365, train avg acc: 0.854365
Test 51, loss: 1.245015, test acc: 0.834127, test avg acc: 0.834127
Train 52, loss: 1.174596, train acc: 0.823115, train avg acc: 0.823115
Test 52, loss: 1.247224, test acc: 0.723413, test avg acc: 0.723413
Train 53, loss: 1.161052, train acc: 0.834722, train avg acc: 0.834722
Test 53, loss: 1.266961, test acc: 0.715873, test avg acc: 0.715873
Train 54, loss: 1.186623, train acc: 0.814583, train avg acc: 0.814583
Test 54, loss: 1.408471, test acc: 0.497619, test avg acc: 0.497619
Train 55, loss: 1.160199, train acc: 0.832937, train avg acc: 0.832937
Test 55, loss: 1.120656, test acc: 0.892460, test avg acc: 0.892460
Train 56, loss: 1.158457, train acc: 0.835119, train avg acc: 0.835119
Test 56, loss: 1.171998, test acc: 0.908730, test avg acc: 0.908730
Train 57, loss: 1.129883, train acc: 0.855258, train avg acc: 0.855258
Test 57, loss: 1.281094, test acc: 0.671825, test avg acc: 0.671825
Train 58, loss: 1.140407, train acc: 0.853571, train avg acc: 0.853571
Test 58, loss: 1.040764, test acc: 0.941270, test avg acc: 0.941270
Train 59, loss: 1.136924, train acc: 0.849702, train avg acc: 0.849702
Test 59, loss: 1.193950, test acc: 0.832937, test avg acc: 0.832937
Train 60, loss: 1.132667, train acc: 0.852778, train avg acc: 0.852778
Test 60, loss: 1.258784, test acc: 0.802778, test avg acc: 0.802778
Train 61, loss: 1.177008, train acc: 0.823909, train avg acc: 0.823909
Test 61, loss: 1.382970, test acc: 0.696825, test avg acc: 0.696825
Train 62, loss: 1.131351, train acc: 0.856151, train avg acc: 0.856151
Test 62, loss: 1.541955, test acc: 0.517460, test avg acc: 0.517460
Train 63, loss: 1.126031, train acc: 0.853373, train avg acc: 0.853373
Test 63, loss: 1.213826, test acc: 0.844444, test avg acc: 0.844444
Train 64, loss: 1.137478, train acc: 0.845635, train avg acc: 0.845635
Test 64, loss: 1.172000, test acc: 0.940476, test avg acc: 0.940476
Train 65, loss: 1.135136, train acc: 0.856151, train avg acc: 0.856151
Test 65, loss: 1.085350, test acc: 0.950794, test avg acc: 0.950794
Train 66, loss: 1.145323, train acc: 0.844643, train avg acc: 0.844643
Test 66, loss: 1.548216, test acc: 0.336508, test avg acc: 0.336508
Train 67, loss: 1.138674, train acc: 0.846825, train avg acc: 0.846825
Test 67, loss: 1.195594, test acc: 0.866667, test avg acc: 0.866667
Train 68, loss: 1.141720, train acc: 0.847222, train avg acc: 0.847222
Test 68, loss: 1.233755, test acc: 0.717063, test avg acc: 0.717063
Train 69, loss: 1.113869, train acc: 0.868254, train avg acc: 0.868254
Test 69, loss: 1.307636, test acc: 0.598810, test avg acc: 0.598810
Train 70, loss: 1.142714, train acc: 0.844940, train avg acc: 0.844940
Test 70, loss: 1.350392, test acc: 0.626587, test avg acc: 0.626587
Train 71, loss: 1.107863, train acc: 0.878472, train avg acc: 0.878472
Test 71, loss: 1.198579, test acc: 0.813889, test avg acc: 0.813889
Train 72, loss: 1.112066, train acc: 0.871131, train avg acc: 0.871131
Test 72, loss: 1.166800, test acc: 0.833333, test avg acc: 0.833333
Train 73, loss: 1.119343, train acc: 0.861210, train avg acc: 0.861210
Test 73, loss: 1.120250, test acc: 0.859921, test avg acc: 0.859921
Train 74, loss: 1.137044, train acc: 0.847222, train avg acc: 0.847222
Test 74, loss: 1.174831, test acc: 0.869048, test avg acc: 0.869048
Train 75, loss: 1.116955, train acc: 0.862500, train avg acc: 0.862500
Test 75, loss: 1.151069, test acc: 0.809524, test avg acc: 0.809524
Train 76, loss: 1.092933, train acc: 0.883730, train avg acc: 0.883730
Test 76, loss: 1.483836, test acc: 0.393254, test avg acc: 0.393254
Train 77, loss: 1.103349, train acc: 0.876885, train avg acc: 0.876885
Test 77, loss: 1.110051, test acc: 0.915476, test avg acc: 0.915476
Train 78, loss: 1.143958, train acc: 0.841567, train avg acc: 0.841567
Test 78, loss: 1.113128, test acc: 0.905159, test avg acc: 0.905159
Train 79, loss: 1.135757, train acc: 0.848810, train avg acc: 0.848810
Test 79, loss: 1.396998, test acc: 0.588095, test avg acc: 0.588095
Train 80, loss: 1.092534, train acc: 0.885615, train avg acc: 0.885615
Test 80, loss: 1.149278, test acc: 0.933333, test avg acc: 0.933333
Train 81, loss: 1.112271, train acc: 0.865972, train avg acc: 0.865972
Test 81, loss: 1.049274, test acc: 0.961111, test avg acc: 0.961111
Train 82, loss: 1.103993, train acc: 0.878274, train avg acc: 0.878274
Test 82, loss: 1.110749, test acc: 0.932937, test avg acc: 0.932937
Train 83, loss: 1.096937, train acc: 0.880258, train avg acc: 0.880258
Test 83, loss: 1.052650, test acc: 0.950794, test avg acc: 0.950794
Train 84, loss: 1.075182, train acc: 0.895536, train avg acc: 0.895536
Test 84, loss: 1.244466, test acc: 0.728968, test avg acc: 0.728968
Train 85, loss: 1.089516, train acc: 0.883929, train avg acc: 0.883929
Test 85, loss: 1.202138, test acc: 0.807540, test avg acc: 0.807540
Train 86, loss: 1.095195, train acc: 0.881052, train avg acc: 0.881052
Test 86, loss: 1.142029, test acc: 0.862302, test avg acc: 0.862302
Train 87, loss: 1.094619, train acc: 0.882837, train avg acc: 0.882837
Test 87, loss: 1.182296, test acc: 0.791270, test avg acc: 0.791270
Train 88, loss: 1.078448, train acc: 0.894345, train avg acc: 0.894345
Test 88, loss: 1.124272, test acc: 0.832143, test avg acc: 0.832143
Train 89, loss: 1.097234, train acc: 0.877183, train avg acc: 0.877183
Test 89, loss: 1.270831, test acc: 0.712302, test avg acc: 0.712302
Train 90, loss: 1.090855, train acc: 0.884325, train avg acc: 0.884325
Test 90, loss: 1.226906, test acc: 0.775000, test avg acc: 0.775000
Train 91, loss: 1.078208, train acc: 0.889782, train avg acc: 0.889782
Test 91, loss: 1.274901, test acc: 0.727381, test avg acc: 0.727381
Train 92, loss: 1.068781, train acc: 0.901687, train avg acc: 0.901687
Test 92, loss: 1.096744, test acc: 0.913492, test avg acc: 0.913492
Train 93, loss: 1.063254, train acc: 0.904861, train avg acc: 0.904861
Test 93, loss: 1.209035, test acc: 0.814683, test avg acc: 0.814683
Train 94, loss: 1.087702, train acc: 0.886409, train avg acc: 0.886409
Test 94, loss: 1.102856, test acc: 0.910714, test avg acc: 0.910714
Train 95, loss: 1.087017, train acc: 0.886508, train avg acc: 0.886508
Test 95, loss: 1.147757, test acc: 0.876984, test avg acc: 0.876984
Train 96, loss: 1.070995, train acc: 0.897321, train avg acc: 0.897321
Test 96, loss: 1.180484, test acc: 0.768651, test avg acc: 0.768651
Train 97, loss: 1.063102, train acc: 0.908929, train avg acc: 0.908929
Test 97, loss: 1.136192, test acc: 0.947619, test avg acc: 0.947619
Train 98, loss: 1.058958, train acc: 0.907242, train avg acc: 0.907242
Test 98, loss: 1.277170, test acc: 0.710714, test avg acc: 0.710714
Train 99, loss: 1.064237, train acc: 0.904563, train avg acc: 0.904563
Test 99, loss: 1.164563, test acc: 0.798413, test avg acc: 0.798413
Train 100, loss: 1.064080, train acc: 0.904365, train avg acc: 0.904365
Test 100, loss: 1.219929, test acc: 0.868651, test avg acc: 0.868651
Train 101, loss: 1.069913, train acc: 0.899802, train avg acc: 0.899802
Test 101, loss: 1.148319, test acc: 0.840873, test avg acc: 0.840873
Train 102, loss: 1.059531, train acc: 0.907242, train avg acc: 0.907242
Test 102, loss: 1.078992, test acc: 0.836508, test avg acc: 0.836508
Train 103, loss: 1.051793, train acc: 0.907639, train avg acc: 0.907639
Test 103, loss: 1.238152, test acc: 0.710714, test avg acc: 0.710714
Train 104, loss: 1.055348, train acc: 0.909821, train avg acc: 0.909821
Test 104, loss: 1.115385, test acc: 0.878175, test avg acc: 0.878175
Train 105, loss: 1.064443, train acc: 0.899901, train avg acc: 0.899901
Test 105, loss: 1.156561, test acc: 0.865476, test avg acc: 0.865476
Train 106, loss: 1.077278, train acc: 0.895238, train avg acc: 0.895238
Test 106, loss: 1.219493, test acc: 0.849206, test avg acc: 0.849206
Train 107, loss: 1.056159, train acc: 0.912004, train avg acc: 0.912004
Test 107, loss: 1.036582, test acc: 0.976984, test avg acc: 0.976984
Train 108, loss: 1.055585, train acc: 0.908730, train avg acc: 0.908730
Test 108, loss: 1.160554, test acc: 0.774603, test avg acc: 0.774603
Train 109, loss: 1.071451, train acc: 0.898413, train avg acc: 0.898413
Test 109, loss: 1.089131, test acc: 0.892857, test avg acc: 0.892857
Train 110, loss: 1.070751, train acc: 0.895933, train avg acc: 0.895933
Test 110, loss: 1.096066, test acc: 0.956349, test avg acc: 0.956349
Train 111, loss: 1.026630, train acc: 0.929960, train avg acc: 0.929960
Test 111, loss: 1.164539, test acc: 0.828175, test avg acc: 0.828175
Train 112, loss: 1.049872, train acc: 0.911905, train avg acc: 0.911905
Test 112, loss: 1.123842, test acc: 0.889286, test avg acc: 0.889286
Train 113, loss: 1.033683, train acc: 0.926488, train avg acc: 0.926488
Test 113, loss: 1.086134, test acc: 0.896032, test avg acc: 0.896032
Train 114, loss: 1.039289, train acc: 0.922024, train avg acc: 0.922024
Test 114, loss: 0.977671, test acc: 0.959921, test avg acc: 0.959921
Train 115, loss: 1.042273, train acc: 0.919742, train avg acc: 0.919742
Test 115, loss: 1.093425, test acc: 0.919841, test avg acc: 0.919841
Train 116, loss: 1.035932, train acc: 0.920139, train avg acc: 0.920139
Test 116, loss: 1.061109, test acc: 0.960714, test avg acc: 0.960714
Train 117, loss: 1.042901, train acc: 0.916667, train avg acc: 0.916667
Test 117, loss: 0.987392, test acc: 0.950397, test avg acc: 0.950397
Train 118, loss: 1.038965, train acc: 0.922520, train avg acc: 0.922520
Test 118, loss: 1.013723, test acc: 0.948810, test avg acc: 0.948810
Train 119, loss: 1.030512, train acc: 0.925496, train avg acc: 0.925496
Test 119, loss: 1.019007, test acc: 0.928571, test avg acc: 0.928571
Train 120, loss: 1.022919, train acc: 0.929365, train avg acc: 0.929365
Test 120, loss: 1.061105, test acc: 0.973810, test avg acc: 0.973810
Train 121, loss: 1.019508, train acc: 0.932639, train avg acc: 0.932639
Test 121, loss: 1.027398, test acc: 0.965476, test avg acc: 0.965476
Train 122, loss: 1.018786, train acc: 0.936210, train avg acc: 0.936210
Test 122, loss: 1.009136, test acc: 0.969444, test avg acc: 0.969444
Train 123, loss: 1.026173, train acc: 0.928175, train avg acc: 0.928175
Test 123, loss: 1.112990, test acc: 0.827381, test avg acc: 0.827381
Train 124, loss: 1.021581, train acc: 0.930357, train avg acc: 0.930357
Test 124, loss: 1.125177, test acc: 0.815476, test avg acc: 0.815476
Train 125, loss: 1.021180, train acc: 0.932440, train avg acc: 0.932440
Test 125, loss: 1.035697, test acc: 0.902381, test avg acc: 0.902381
Train 126, loss: 1.034027, train acc: 0.925000, train avg acc: 0.925000
Test 126, loss: 1.031375, test acc: 0.907143, test avg acc: 0.907143
Train 127, loss: 1.005197, train acc: 0.940972, train avg acc: 0.940972
Test 127, loss: 0.991694, test acc: 0.950000, test avg acc: 0.950000
Train 128, loss: 1.016282, train acc: 0.933433, train avg acc: 0.933433
Test 128, loss: 1.130818, test acc: 0.770635, test avg acc: 0.770635
Train 129, loss: 1.019580, train acc: 0.934623, train avg acc: 0.934623
Test 129, loss: 1.038118, test acc: 0.946825, test avg acc: 0.946825
Train 130, loss: 1.013570, train acc: 0.936607, train avg acc: 0.936607
Test 130, loss: 1.114745, test acc: 0.873413, test avg acc: 0.873413
Train 131, loss: 1.015124, train acc: 0.936012, train avg acc: 0.936012
Test 131, loss: 1.045529, test acc: 0.939286, test avg acc: 0.939286
Train 132, loss: 1.007205, train acc: 0.938591, train avg acc: 0.938591
Test 132, loss: 0.970720, test acc: 0.945635, test avg acc: 0.945635
Train 133, loss: 1.016523, train acc: 0.935119, train avg acc: 0.935119
Test 133, loss: 1.014793, test acc: 0.959524, test avg acc: 0.959524
Train 134, loss: 1.002662, train acc: 0.941468, train avg acc: 0.941468
Test 134, loss: 1.195178, test acc: 0.765873, test avg acc: 0.765873
Train 135, loss: 1.006241, train acc: 0.937401, train avg acc: 0.937401
Test 135, loss: 0.962647, test acc: 0.962302, test avg acc: 0.962302
Train 136, loss: 0.994314, train acc: 0.949504, train avg acc: 0.949504
Test 136, loss: 0.979969, test acc: 0.958730, test avg acc: 0.958730
Train 137, loss: 0.996605, train acc: 0.946429, train avg acc: 0.946429
Test 137, loss: 0.964526, test acc: 0.974206, test avg acc: 0.974206
Train 138, loss: 1.001909, train acc: 0.943155, train avg acc: 0.943155
Test 138, loss: 1.152791, test acc: 0.751190, test avg acc: 0.751190
Train 139, loss: 1.001640, train acc: 0.941964, train avg acc: 0.941964
Test 139, loss: 0.997779, test acc: 0.952381, test avg acc: 0.952381
Train 140, loss: 0.998357, train acc: 0.944742, train avg acc: 0.944742
Test 140, loss: 1.133151, test acc: 0.765079, test avg acc: 0.765079
Train 141, loss: 0.975261, train acc: 0.957540, train avg acc: 0.957540
Test 141, loss: 1.070150, test acc: 0.823810, test avg acc: 0.823810
Train 142, loss: 0.973361, train acc: 0.957738, train avg acc: 0.957738
Test 142, loss: 0.988467, test acc: 0.957540, test avg acc: 0.957540
Train 143, loss: 0.982398, train acc: 0.954663, train avg acc: 0.954663
Test 143, loss: 1.095413, test acc: 0.873413, test avg acc: 0.873413
Train 144, loss: 0.992749, train acc: 0.948214, train avg acc: 0.948214
Test 144, loss: 1.083262, test acc: 0.835317, test avg acc: 0.835317
Train 145, loss: 0.992347, train acc: 0.948214, train avg acc: 0.948214
