Namespace(batch_size=5, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_100_cpu', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=True, num_points=100, seed=1, test_batch_size=2, use_sgd=True)
Using CPU
Train 0, loss: 3.051039, train acc: 0.246759, train avg acc: 0.246759
Test 0, loss: 1.657589, test acc: 0.322222, test avg acc: 0.322222
Train 1, loss: 1.790548, train acc: 0.285648, train avg acc: 0.285648
Test 1, loss: 1.638605, test acc: 0.322222, test avg acc: 0.322222
Train 2, loss: 1.728270, train acc: 0.315741, train avg acc: 0.315741
Test 2, loss: 1.729714, test acc: 0.322222, test avg acc: 0.322222
Train 3, loss: 1.718771, train acc: 0.318056, train avg acc: 0.318056
Test 3, loss: 1.619309, test acc: 0.414815, test avg acc: 0.414815
Train 4, loss: 1.710636, train acc: 0.341667, train avg acc: 0.341667
Test 4, loss: 1.644285, test acc: 0.322222, test avg acc: 0.322222
Train 5, loss: 1.680150, train acc: 0.348148, train avg acc: 0.348148
Test 5, loss: 1.683435, test acc: 0.320370, test avg acc: 0.320370
Train 6, loss: 1.669963, train acc: 0.370370, train avg acc: 0.370370
Test 6, loss: 1.748042, test acc: 0.372222, test avg acc: 0.372222
Train 7, loss: 1.636120, train acc: 0.424537, train avg acc: 0.424537
Test 7, loss: 1.631606, test acc: 0.390741, test avg acc: 0.390741
Train 8, loss: 1.600108, train acc: 0.443519, train avg acc: 0.443519
Test 8, loss: 1.696588, test acc: 0.183333, test avg acc: 0.183333
Train 9, loss: 1.606725, train acc: 0.439352, train avg acc: 0.439352
Test 9, loss: 1.663254, test acc: 0.370370, test avg acc: 0.370370
Train 10, loss: 1.595192, train acc: 0.475000, train avg acc: 0.475000
Test 10, loss: 1.606021, test acc: 0.355556, test avg acc: 0.355556
Train 11, loss: 1.596010, train acc: 0.488889, train avg acc: 0.488889
Test 11, loss: 1.795780, test acc: 0.366667, test avg acc: 0.366667
Train 12, loss: 1.578851, train acc: 0.485648, train avg acc: 0.485648
Test 12, loss: 1.618990, test acc: 0.357407, test avg acc: 0.357407
Train 13, loss: 1.560844, train acc: 0.499074, train avg acc: 0.499074
Test 13, loss: 1.509840, test acc: 0.483333, test avg acc: 0.483333
Train 14, loss: 1.545512, train acc: 0.525926, train avg acc: 0.525926
Test 14, loss: 1.594692, test acc: 0.551852, test avg acc: 0.551852
Train 15, loss: 1.526090, train acc: 0.536574, train avg acc: 0.536574
Test 15, loss: 1.655734, test acc: 0.466667, test avg acc: 0.466667
Train 16, loss: 1.512706, train acc: 0.544907, train avg acc: 0.544907
Test 16, loss: 1.520013, test acc: 0.509259, test avg acc: 0.509259
Train 17, loss: 1.530075, train acc: 0.547222, train avg acc: 0.547222
Test 17, loss: 1.577843, test acc: 0.359259, test avg acc: 0.359259
Train 18, loss: 1.473737, train acc: 0.577778, train avg acc: 0.577778
Test 18, loss: 1.521210, test acc: 0.472222, test avg acc: 0.472222
Train 19, loss: 1.466448, train acc: 0.597685, train avg acc: 0.597685
Test 19, loss: 1.293718, test acc: 0.722222, test avg acc: 0.722222
Train 20, loss: 1.452264, train acc: 0.607870, train avg acc: 0.607870
Test 20, loss: 1.436705, test acc: 0.688889, test avg acc: 0.688889
Train 21, loss: 1.445808, train acc: 0.613889, train avg acc: 0.613889
Test 21, loss: 1.288012, test acc: 0.712963, test avg acc: 0.712963
Train 22, loss: 1.427102, train acc: 0.623148, train avg acc: 0.623148
Test 22, loss: 1.403381, test acc: 0.650000, test avg acc: 0.650000
Train 23, loss: 1.366161, train acc: 0.669907, train avg acc: 0.669907
Test 23, loss: 1.454197, test acc: 0.448148, test avg acc: 0.448148
Train 24, loss: 1.351539, train acc: 0.685648, train avg acc: 0.685648
Test 24, loss: 1.292596, test acc: 0.650000, test avg acc: 0.650000
Train 25, loss: 1.366752, train acc: 0.680093, train avg acc: 0.680093
Test 25, loss: 1.347260, test acc: 0.727778, test avg acc: 0.727778
Train 26, loss: 1.354124, train acc: 0.676852, train avg acc: 0.676852
Test 26, loss: 1.253498, test acc: 0.653704, test avg acc: 0.653704
Train 27, loss: 1.329765, train acc: 0.712500, train avg acc: 0.712500
Test 27, loss: 1.296029, test acc: 0.646296, test avg acc: 0.646296
Train 28, loss: 1.287926, train acc: 0.726389, train avg acc: 0.726389
Test 28, loss: 1.308396, test acc: 0.657407, test avg acc: 0.657407
Train 29, loss: 1.303838, train acc: 0.720833, train avg acc: 0.720833
Test 29, loss: 1.287446, test acc: 0.725926, test avg acc: 0.725926
Train 30, loss: 1.270296, train acc: 0.750463, train avg acc: 0.750463
