Namespace(exp_name='dgcnn_100', model='dgcnn', dataset='modelnet40', batch_size=5, test_batch_size=2, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=100, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Train 0, loss: 3.075914, train acc: 0.245370, train avg acc: 0.245370
Test 0, loss: 1.776418, test acc: 0.383333, test avg acc: 0.383333
Train 1, loss: 1.787985, train acc: 0.302778, train avg acc: 0.302778
Test 1, loss: 1.771952, test acc: 0.318519, test avg acc: 0.318519
Train 2, loss: 1.724933, train acc: 0.336111, train avg acc: 0.336111
Test 2, loss: 1.732510, test acc: 0.338889, test avg acc: 0.338889
Train 3, loss: 1.706228, train acc: 0.318981, train avg acc: 0.318981
Test 3, loss: 1.960703, test acc: 0.324074, test avg acc: 0.324074
Train 4, loss: 1.706411, train acc: 0.346296, train avg acc: 0.346296
Test 4, loss: 1.796053, test acc: 0.170370, test avg acc: 0.170370
Train 5, loss: 1.689417, train acc: 0.362037, train avg acc: 0.362037
Test 5, loss: 1.679420, test acc: 0.322222, test avg acc: 0.322222
Train 6, loss: 1.676437, train acc: 0.372685, train avg acc: 0.372685
Test 6, loss: 1.664338, test acc: 0.392593, test avg acc: 0.392593
Train 7, loss: 1.667393, train acc: 0.390741, train avg acc: 0.390741
Test 7, loss: 1.767824, test acc: 0.250000, test avg acc: 0.250000
Train 8, loss: 1.671252, train acc: 0.384722, train avg acc: 0.384722
Test 8, loss: 1.616770, test acc: 0.383333, test avg acc: 0.383333
Train 9, loss: 1.615883, train acc: 0.447685, train avg acc: 0.447685
Test 9, loss: 1.567315, test acc: 0.411111, test avg acc: 0.411111
Train 10, loss: 1.634733, train acc: 0.442130, train avg acc: 0.442130
Test 10, loss: 1.541841, test acc: 0.377778, test avg acc: 0.377778
Train 11, loss: 1.571585, train acc: 0.478704, train avg acc: 0.478704
Test 11, loss: 1.544529, test acc: 0.435185, test avg acc: 0.435185
Train 12, loss: 1.552777, train acc: 0.503241, train avg acc: 0.503241
Test 12, loss: 1.680226, test acc: 0.398148, test avg acc: 0.398148
Train 13, loss: 1.553864, train acc: 0.508796, train avg acc: 0.508796
Test 13, loss: 1.482730, test acc: 0.501852, test avg acc: 0.501852
Train 14, loss: 1.555771, train acc: 0.513889, train avg acc: 0.513889
Test 14, loss: 1.431608, test acc: 0.642593, test avg acc: 0.642593
Train 15, loss: 1.549430, train acc: 0.526852, train avg acc: 0.526852
Test 15, loss: 1.465226, test acc: 0.490741, test avg acc: 0.490741
