Namespace(batch_size=5, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_50_cpu', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=True, num_points=50, seed=1, test_batch_size=2, use_sgd=True)
Using CPU
Train 42, loss: 1.167353, train acc: 0.829280, train avg acc: 0.829269
Test 42, loss: 1.081942, test acc: 0.876984, test avg acc: 0.876984
Train 43, loss: 1.140186, train acc: 0.847643, train avg acc: 0.847616
Test 43, loss: 1.254232, test acc: 0.668651, test avg acc: 0.668651
Train 44, loss: 1.200340, train acc: 0.805955, train avg acc: 0.805939
Test 44, loss: 1.113758, test acc: 0.863095, test avg acc: 0.863095
Train 45, loss: 1.177543, train acc: 0.824814, train avg acc: 0.824828
Test 45, loss: 1.147402, test acc: 0.942460, test avg acc: 0.942460
Train 46, loss: 1.145596, train acc: 0.843176, train avg acc: 0.843167
Test 46, loss: 1.068147, test acc: 0.938492, test avg acc: 0.938492
Train 47, loss: 1.184803, train acc: 0.815881, train avg acc: 0.815950
Test 47, loss: 1.005726, test acc: 0.958333, test avg acc: 0.958333
Train 48, loss: 1.139784, train acc: 0.845161, train avg acc: 0.845220
Test 48, loss: 1.163211, test acc: 0.845238, test avg acc: 0.845238
Train 49, loss: 1.157520, train acc: 0.831266, train avg acc: 0.831254
Test 49, loss: 1.052464, test acc: 0.930556, test avg acc: 0.930556
Train 50, loss: 1.139679, train acc: 0.851613, train avg acc: 0.851583
Test 50, loss: 1.301725, test acc: 0.736111, test avg acc: 0.736111
Train 51, loss: 1.153094, train acc: 0.840199, train avg acc: 0.840208
Test 51, loss: 1.105026, test acc: 0.871032, test avg acc: 0.871032
Train 52, loss: 1.135839, train acc: 0.849628, train avg acc: 0.849633
Test 52, loss: 1.077280, test acc: 0.888889, test avg acc: 0.888889
Train 53, loss: 1.137623, train acc: 0.848635, train avg acc: 0.848636
Test 53, loss: 1.183218, test acc: 0.942460, test avg acc: 0.942460
Train 54, loss: 1.121717, train acc: 0.856079, train avg acc: 0.856100
Test 54, loss: 1.006250, test acc: 0.914683, test avg acc: 0.914683
Train 55, loss: 1.133759, train acc: 0.865509, train avg acc: 0.865494
Test 55, loss: 1.036465, test acc: 0.936508, test avg acc: 0.936508
Train 56, loss: 1.116024, train acc: 0.867990, train avg acc: 0.867950
Test 56, loss: 1.049817, test acc: 0.922619, test avg acc: 0.922619
Train 57, loss: 1.122914, train acc: 0.867990, train avg acc: 0.867989
Test 57, loss: 1.048209, test acc: 0.900794, test avg acc: 0.900794
Train 58, loss: 1.139654, train acc: 0.855583, train avg acc: 0.855535
Test 58, loss: 1.104987, test acc: 0.841270, test avg acc: 0.841270
Train 59, loss: 1.153611, train acc: 0.844169, train avg acc: 0.844157
Test 59, loss: 1.033785, test acc: 0.908730, test avg acc: 0.908730
Train 60, loss: 1.143870, train acc: 0.852109, train avg acc: 0.852168
Test 60, loss: 1.252858, test acc: 0.712302, test avg acc: 0.712302
Train 61, loss: 1.131277, train acc: 0.848635, train avg acc: 0.848642
Test 61, loss: 1.144959, test acc: 0.827381, test avg acc: 0.827381
Train 62, loss: 1.149104, train acc: 0.850124, train avg acc: 0.850065
Test 62, loss: 1.153320, test acc: 0.817460, test avg acc: 0.817460
Train 63, loss: 1.141275, train acc: 0.841191, train avg acc: 0.841171
Test 63, loss: 1.137441, test acc: 0.855159, test avg acc: 0.855159
Train 64, loss: 1.118974, train acc: 0.861042, train avg acc: 0.861028
Test 64, loss: 1.076629, test acc: 0.914683, test avg acc: 0.914683
Train 65, loss: 1.103055, train acc: 0.867494, train avg acc: 0.867515
Test 65, loss: 1.168403, test acc: 0.894841, test avg acc: 0.894841
Train 66, loss: 1.109392, train acc: 0.876923, train avg acc: 0.876920
Test 66, loss: 1.145969, test acc: 0.873016, test avg acc: 0.873016
Train 67, loss: 1.112267, train acc: 0.864516, train avg acc: 0.864512
Test 67, loss: 1.130571, test acc: 0.942460, test avg acc: 0.942460
Train 68, loss: 1.110736, train acc: 0.869975, train avg acc: 0.869979
Test 68, loss: 1.267682, test acc: 0.694444, test avg acc: 0.694444
Train 69, loss: 1.100286, train acc: 0.872953, train avg acc: 0.872893
Test 69, loss: 1.088743, test acc: 0.926587, test avg acc: 0.926587
Train 70, loss: 1.094117, train acc: 0.874938, train avg acc: 0.874935
Test 70, loss: 1.071242, test acc: 0.958333, test avg acc: 0.958333
Train 71, loss: 1.112906, train acc: 0.872953, train avg acc: 0.872961
Test 71, loss: 1.079431, test acc: 0.886905, test avg acc: 0.886905
Train 72, loss: 1.109615, train acc: 0.869975, train avg acc: 0.870023
Test 72, loss: 1.106029, test acc: 0.888889, test avg acc: 0.888889
Train 73, loss: 1.114940, train acc: 0.868983, train avg acc: 0.868969
Test 73, loss: 1.046101, test acc: 0.940476, test avg acc: 0.940476
Train 74, loss: 1.102805, train acc: 0.872953, train avg acc: 0.872945
Test 74, loss: 1.169814, test acc: 0.809524, test avg acc: 0.809524
Train 75, loss: 1.114474, train acc: 0.875434, train avg acc: 0.875471
Test 75, loss: 1.095908, test acc: 0.839286, test avg acc: 0.839286
Train 76, loss: 1.098173, train acc: 0.876427, train avg acc: 0.876427
Test 76, loss: 1.056300, test acc: 0.886905, test avg acc: 0.886905
Train 77, loss: 1.128521, train acc: 0.859553, train avg acc: 0.859543
Test 77, loss: 1.172834, test acc: 0.791667, test avg acc: 0.791667
Train 78, loss: 1.109422, train acc: 0.866998, train avg acc: 0.866992
Test 78, loss: 1.082586, test acc: 0.869048, test avg acc: 0.869048
Train 79, loss: 1.119675, train acc: 0.867494, train avg acc: 0.867485
Test 79, loss: 1.165722, test acc: 0.799603, test avg acc: 0.799603
Train 80, loss: 1.098092, train acc: 0.876923, train avg acc: 0.876883
Test 80, loss: 1.132881, test acc: 0.914683, test avg acc: 0.914683
Train 81, loss: 1.070744, train acc: 0.898759, train avg acc: 0.898777
Test 81, loss: 1.116054, test acc: 0.853175, test avg acc: 0.853175
Train 82, loss: 1.088802, train acc: 0.887345, train avg acc: 0.887343
Test 82, loss: 1.087551, test acc: 0.876984, test avg acc: 0.876984
Train 83, loss: 1.084084, train acc: 0.890323, train avg acc: 0.890294
Test 83, loss: 1.235424, test acc: 0.738095, test avg acc: 0.738095
Train 84, loss: 1.091006, train acc: 0.890819, train avg acc: 0.890823
Test 84, loss: 1.008923, test acc: 0.932540, test avg acc: 0.932540
Train 85, loss: 1.129645, train acc: 0.864516, train avg acc: 0.864526
Test 85, loss: 1.002193, test acc: 0.980159, test avg acc: 0.980159
Train 86, loss: 1.085240, train acc: 0.889826, train avg acc: 0.889808
Test 86, loss: 1.195273, test acc: 0.888889, test avg acc: 0.888889
Train 87, loss: 1.105977, train acc: 0.873449, train avg acc: 0.873457
Test 87, loss: 1.128255, test acc: 0.797619, test avg acc: 0.797619
Train 88, loss: 1.082662, train acc: 0.885856, train avg acc: 0.885870
Test 88, loss: 1.012979, test acc: 0.936508, test avg acc: 0.936508
Train 89, loss: 1.108385, train acc: 0.868983, train avg acc: 0.868997
Test 89, loss: 1.054371, test acc: 0.906746, test avg acc: 0.906746
Train 90, loss: 1.079479, train acc: 0.886352, train avg acc: 0.886311
Test 90, loss: 1.012262, test acc: 0.928571, test avg acc: 0.928571
Train 91, loss: 1.071482, train acc: 0.897767, train avg acc: 0.897721
Test 91, loss: 1.030597, test acc: 0.946429, test avg acc: 0.946429
Train 92, loss: 1.063413, train acc: 0.907692, train avg acc: 0.907728
Test 92, loss: 1.013050, test acc: 0.938492, test avg acc: 0.938492
Train 93, loss: 1.071688, train acc: 0.896774, train avg acc: 0.896818
Test 93, loss: 1.040274, test acc: 0.930556, test avg acc: 0.930556
Train 94, loss: 1.047138, train acc: 0.917122, train avg acc: 0.917083
Test 94, loss: 1.038651, test acc: 0.878968, test avg acc: 0.878968
Train 95, loss: 1.051940, train acc: 0.907692, train avg acc: 0.907689
Test 95, loss: 1.096509, test acc: 0.904762, test avg acc: 0.904762
Train 96, loss: 1.050326, train acc: 0.911166, train avg acc: 0.911167
Test 96, loss: 0.998258, test acc: 0.970238, test avg acc: 0.970238
Train 97, loss: 1.066189, train acc: 0.893300, train avg acc: 0.893312
Test 97, loss: 1.013408, test acc: 0.936508, test avg acc: 0.936508
Train 98, loss: 1.089474, train acc: 0.873449, train avg acc: 0.873396
Test 98, loss: 0.994364, test acc: 0.968254, test avg acc: 0.968254
Train 99, loss: 1.074281, train acc: 0.892804, train avg acc: 0.892789
Test 99, loss: 1.088447, test acc: 0.797619, test avg acc: 0.797619
Train 100, loss: 1.072899, train acc: 0.897767, train avg acc: 0.897760
Test 100, loss: 1.141666, test acc: 0.878968, test avg acc: 0.878968
Train 101, loss: 1.065268, train acc: 0.904715, train avg acc: 0.904755
Test 101, loss: 1.038456, test acc: 0.974206, test avg acc: 0.974206
Train 102, loss: 1.049385, train acc: 0.912159, train avg acc: 0.912128
Test 102, loss: 1.001551, test acc: 0.904762, test avg acc: 0.904762
Train 103, loss: 1.047955, train acc: 0.917122, train avg acc: 0.917139
Test 103, loss: 0.979677, test acc: 0.924603, test avg acc: 0.924603
Train 104, loss: 1.063070, train acc: 0.908189, train avg acc: 0.908197
Test 104, loss: 1.096536, test acc: 0.867063, test avg acc: 0.867063
Train 105, loss: 1.046509, train acc: 0.913648, train avg acc: 0.913674
Test 105, loss: 1.033257, test acc: 0.950397, test avg acc: 0.950397
Train 106, loss: 1.038534, train acc: 0.921588, train avg acc: 0.921581
Test 106, loss: 0.984343, test acc: 0.958333, test avg acc: 0.958333
Train 107, loss: 1.036248, train acc: 0.918114, train avg acc: 0.918113
Test 107, loss: 0.993731, test acc: 0.954365, test avg acc: 0.954365
Train 108, loss: 1.038647, train acc: 0.922581, train avg acc: 0.922595
